PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone
1,0,2,male,29.5,0,1,4.66,S,2,0
2,1,3,female,35.2,0,0,5.75,S,1,1
3,1,3,male,29.5,0,1,19.16,S,2,0
4,1,3,male,26.9,0,0,3.36,S,1,1
5,0,3,male,40.3,0,0,13.11,C,1,1
6,0,2,male,46.3,0,0,23.99,S,1,1
7,1,1,male,7.6,1,1,106.88,S,3,0
8,1,3,male,20.6,1,1,15.23,Q,3,0
9,1,3,female,40.5,1,0,14.48,S,2,0
10,0,3,male,22.5,1,0,10.18,S,2,0
11,0,1,male,17.8,1,0,24.55,S,2,0
12,0,3,male,43.3,1,1,13.62,C,3,0
13,1,2,male,10.9,0,2,29.94,Q,3,0
14,0,3,male,24.8,0,0,9.05,Q,1,1
15,0,3,male,33.6,0,1,17.73,C,2,0
16,0,1,male,21.0,0,0,138.37,S,1,1
17,1,3,male,29.5,1,0,8.52,S,2,0
18,0,2,male,21.0,0,0,15.02,S,1,1
19,0,3,male,29.5,0,0,7.73,S,1,1
20,1,2,female,27.2,1,1,15.34,S,3,0
21,0,3,female,38.4,0,0,17.01,S,1,1
22,0,1,male,29.5,1,0,25.85,S,2,0
23,0,3,male,20.2,0,2,9.15,C,3,0
24,0,3,male,0.4,0,0,7.03,S,1,1
25,0,3,male,34.1,1,1,10.95,S,3,0
26,1,1,male,30.0,0,1,18.14,S,2,0
27,0,3,male,36.8,0,0,3.91,S,1,1
28,0,1,male,25.8,0,0,32.09,S,1,1
29,0,3,female,23.0,1,0,26.78,S,2,0
30,0,2,male,29.5,0,0,11.89,S,1,1
31,0,3,male,29.5,0,2,4.37,C,3,0
32,0,1,male,39.3,2,0,77.43,Q,3,0
33,1,1,female,21.0,1,0,25.21,S,2,0
34,1,2,female,24.3,0,0,24.95,S,1,1
35,1,2,male,24.6,0,0,9.14,S,1,1
36,1,1,female,29.5,0,0,24.68,Q,1,1
37,1,3,male,37.0,1,0,18.92,S,2,0
38,1,3,female,48.5,0,0,8.83,S,1,1
39,1,3,female,35.6,0,1,8.9,C,2,0
40,0,3,male,30.4,0,1,3.34,S,2,0
41,1,1,female,15.2,1,0,39.34,S,2,0
42,1,3,male,36.2,0,1,5.1,S,2,0
43,0,1,male,59.2,1,0,48.03,S,2,0
44,0,3,male,23.7,1,0,9.22,S,2,0
45,1,2,female,29.5,2,0,16.86,S,3,0
46,0,2,male,21.1,0,0,22.5,C,1,1
47,0,2,male,29.5,0,1,17.73,S,2,0
48,1,3,female,29.5,0,0,22.9,S,1,1
49,1,1,male,34.7,0,1,62.55,S,2,0
50,0,3,male,17.2,0,0,3.93,C,1,1
51,1,1,male,6.5,1,0,22.14,S,2,0
52,0,3,male,39.5,0,0,13.49,S,1,1
53,0,3,male,13.9,0,0,4.64,S,1,1
54,0,2,male,24.3,0,0,5.52,C,1,1
55,0,3,female,29.5,1,0,5.18,S,2,0
56,1,3,female,9.3,1,1,7.62,S,3,0
57,0,3,male,7.5,0,1,3.0,S,2,0
58,0,3,male,32.8,0,0,4.19,C,1,1
59,0,3,male,29.5,1,0,3.0,S,2,0
60,0,3,male,7.0,0,1,16.25,S,2,0
61,0,1,male,29.5,0,0,42.9,C,1,1
62,0,3,male,37.1,1,0,9.65,Q,2,0
63,1,2,female,0.4,0,0,15.03,S,1,1
64,0,1,male,40.2,0,0,34.02,Q,1,1
65,0,3,male,41.3,2,2,4.49,S,5,0
66,1,2,female,24.6,1,2,30.02,S,4,0
67,1,1,female,46.5,0,0,25.94,C,1,1
68,1,3,male,44.9,2,1,14.16,S,4,0
69,0,3,female,30.4,0,0,13.82,S,1,1
70,0,3,male,29.5,1,0,11.25,S,2,0
71,1,3,female,15.4,1,0,9.85,S,2,0
72,1,3,male,28.5,0,0,9.42,S,1,1
73,1,1,female,37.0,0,0,23.62,C,1,1
74,0,2,female,24.5,0,0,18.91,C,1,1
75,1,3,female,0.4,0,1,9.24,S,2,0
76,1,2,female,46.8,0,1,10.57,S,2,0
77,0,3,male,31.7,2,0,11.77,Q,3,0
78,0,3,male,23.7,0,0,9.66,S,1,1
79,0,2,male,41.0,0,0,29.25,S,1,1
80,1,3,female,29.5,0,0,3.0,S,1,1
81,1,3,female,0.4,0,1,8.35,S,2,0
82,1,3,male,29.5,0,1,5.29,S,2,0
83,1,3,female,9.0,0,0,5.99,S,1,1
84,1,3,female,36.0,0,0,11.43,S,1,1
85,0,1,female,30.8,0,0,10.36,S,1,1
86,1,3,female,37.9,1,0,8.85,S,2,0
87,1,3,male,22.0,4,0,8.32,C,5,0
88,0,3,male,29.5,0,0,4.35,C,1,1
89,0,3,male,22.7,0,0,8.98,S,1,1
90,0,3,male,34.7,3,0,5.17,S,4,0
91,0,2,male,43.2,1,0,52.9,Q,2,0
92,1,3,female,12.6,0,0,16.8,S,1,1
93,0,3,female,43.4,1,1,8.5,C,3,0
94,0,1,male,19.9,1,0,18.93,S,2,0
95,0,1,male,34.1,1,0,33.2,Q,2,0
96,0,3,male,21.9,3,0,12.94,S,4,0
97,0,3,male,31.6,1,1,9.51,S,3,0
98,1,3,male,41.5,0,0,4.44,S,1,1
99,1,3,male,11.8,0,0,7.2,S,1,1
100,0,3,male,19.5,1,1,8.56,S,3,0
101,0,3,male,29.5,1,1,9.72,S,3,0
102,0,3,male,62.6,0,0,9.86,C,1,1
103,1,1,female,16.9,1,1,38.03,S,3,0
104,0,3,male,29.5,1,1,18.27,S,3,0
105,1,3,male,29.5,0,0,14.99,S,1,1
106,0,3,male,27.6,0,1,11.64,S,2,0
107,0,3,female,24.8,0,0,3.84,S,1,1
108,0,3,male,19.3,0,1,16.64,S,2,0
109,0,1,male,28.0,0,0,40.1,S,1,1
110,0,2,female,9.3,0,2,12.14,S,3,0
111,0,1,male,27.9,0,0,24.97,S,1,1
112,1,1,female,50.0,0,2,25.52,S,3,0
113,0,3,male,20.4,1,0,6.28,S,2,0
114,0,1,male,29.5,1,0,8.59,S,2,0
115,0,2,male,5.2,1,0,7.24,Q,2,0
116,0,3,male,34.2,0,2,4.74,S,3,0
117,0,3,male,32.7,1,0,3.0,S,2,0
118,1,1,male,29.9,2,0,12.58,S,3,0
119,0,3,male,29.5,1,1,16.2,S,3,0
120,0,3,male,24.9,0,0,10.93,S,1,1
121,1,1,male,36.0,0,0,13.7,S,1,1
122,0,2,female,28.6,1,0,9.37,Q,2,0
123,0,3,male,33.4,1,0,17.07,Q,2,0
124,1,3,male,32.0,0,1,16.82,C,2,0
125,0,3,male,44.7,1,0,8.52,S,2,0
126,0,1,female,38.5,1,0,49.64,S,2,0
127,0,2,male,31.7,0,1,8.94,S,2,0
128,0,3,male,50.3,0,0,9.36,Q,1,1
129,0,1,male,34.9,1,2,10.13,S,4,0
130,1,3,male,29.5,0,0,6.56,S,1,1
131,0,3,female,37.5,0,0,8.3,S,1,1
132,1,2,female,3.2,0,0,5.15,S,1,1
133,1,3,male,47.3,0,0,11.66,Q,1,1
134,0,3,male,30.9,0,1,12.89,S,2,0
135,1,2,female,28.3,1,1,25.96,S,3,0
136,0,3,male,29.5,1,0,33.13,S,2,0
137,1,1,female,24.2,0,1,31.5,C,2,0
138,0,3,female,32.2,0,0,7.86,S,1,1
139,1,1,male,20.7,1,0,9.38,C,2,0
140,1,1,female,46.8,0,0,31.04,S,1,1
141,1,3,male,27.4,0,0,11.42,C,1,1
142,1,3,female,23.6,1,0,3.62,C,2,0
143,0,3,male,29.5,2,1,7.07,S,4,0
144,1,2,male,32.8,0,0,14.25,S,1,1
145,0,2,male,29.5,0,0,19.45,S,1,1
146,1,3,female,34.4,0,0,13.65,S,1,1
147,1,3,male,14.6,0,0,5.92,C,1,1
148,0,2,male,6.6,0,0,15.97,S,1,1
149,1,3,male,37.8,0,1,11.52,S,2,0
150,0,3,male,49.8,0,2,7.32,S,3,0
151,0,3,male,14.6,0,0,6.34,S,1,1
152,0,3,male,51.3,1,0,12.52,C,2,0
153,1,2,male,33.0,1,1,12.72,S,3,0
154,0,3,male,28.9,0,1,3.98,Q,2,0
155,1,2,male,29.5,0,0,32.26,Q,1,1
156,0,3,male,9.6,0,1,4.26,S,2,0
157,0,3,male,42.8,0,2,7.72,S,3,0
158,1,3,female,18.1,2,0,9.91,C,3,0
159,0,3,male,18.1,0,1,10.73,S,2,0
160,0,3,female,42.9,0,1,9.04,S,2,0
161,1,3,female,29.5,0,0,3.0,S,1,1
162,1,3,male,7.7,0,0,5.36,S,1,1
163,0,3,female,28.7,0,0,9.75,C,1,1
164,1,3,female,33.1,0,1,7.65,S,2,0
165,0,2,male,35.8,0,0,19.24,S,1,1
166,0,2,male,24.8,0,0,26.13,Q,1,1
167,1,1,female,64.4,0,0,33.25,C,1,1
168,0,3,male,25.8,0,0,5.27,S,1,1
169,0,3,female,29.5,1,0,5.91,C,2,0
170,0,3,male,29.5,3,0,21.73,S,4,0
171,0,3,female,30.7,1,0,7.33,C,2,0
172,0,3,male,37.6,0,0,7.71,S,1,1
173,1,1,male,45.9,0,0,33.31,S,1,1
174,0,2,male,8.2,3,0,29.74,C,4,0
175,0,2,male,25.6,2,0,8.24,S,3,0
176,0,2,female,29.5,0,0,10.51,Q,1,1
177,0,3,male,37.2,3,0,3.12,S,4,0
178,1,3,female,29.5,0,1,6.84,Q,2,0
179,0,3,male,29.5,0,1,11.48,Q,2,0
180,0,3,male,17.7,1,1,6.56,S,3,0
181,1,3,male,50.8,0,1,23.47,C,2,0
182,0,1,male,42.9,0,1,26.3,S,2,0
183,0,3,male,29.5,2,0,7.68,Q,3,0
184,0,2,male,29.5,1,1,11.46,S,3,0
185,0,2,female,14.3,0,1,6.26,C,2,0
186,1,1,female,38.5,0,0,23.24,S,1,1
187,0,3,male,29.5,1,1,10.13,S,3,0
188,0,2,male,29.5,1,0,13.19,S,2,0
189,0,2,male,35.4,0,1,16.26,S,2,0
190,0,3,male,28.1,1,1,5.46,C,3,0
191,1,3,male,32.6,1,0,3.87,S,2,0
192,0,2,male,14.1,0,0,13.28,S,1,1
193,1,1,female,37.3,0,0,28.0,S,1,1
194,0,3,female,20.4,0,1,7.38,S,2,0
195,0,1,male,24.5,1,0,27.72,S,2,0
196,0,3,male,32.3,0,0,13.01,C,1,1
197,0,3,male,29.5,0,1,12.98,Q,2,0
198,1,2,female,29.3,1,0,23.68,S,2,0
199,0,2,male,29.5,0,0,25.87,S,1,1
200,0,1,male,24.8,0,1,33.06,S,2,0
201,1,1,female,29.5,1,0,30.38,S,2,0
202,0,1,male,29.5,0,0,78.71,S,1,1
203,0,3,male,22.5,1,0,13.07,C,2,0
204,0,1,male,34.4,1,0,14.77,S,2,0
205,1,3,male,29.5,1,1,3.0,C,3,0
206,0,3,male,45.2,1,0,7.07,S,2,0
207,0,2,male,46.8,1,2,20.59,S,4,0
208,1,1,male,11.6,0,0,43.61,S,1,1
209,0,1,male,48.0,1,0,11.59,S,2,0
210,1,1,female,27.0,0,0,38.0,S,1,1
211,0,3,male,34.9,0,0,16.13,C,1,1
212,0,2,male,22.0,0,0,20.39,S,1,1
213,0,3,female,41.9,2,0,10.48,C,3,0
214,1,2,female,34.7,2,0,13.07,S,3,0
215,1,3,female,17.6,1,0,6.2,S,2,0
216,0,3,male,12.7,1,0,13.08,S,2,0
217,0,3,male,8.6,0,0,11.59,S,1,1
218,0,2,female,31.6,0,0,11.63,S,1,1
219,1,1,female,29.5,0,0,112.76,S,1,1
220,1,3,male,38.1,1,0,3.3,S,2,0
221,0,2,female,27.3,0,0,12.31,S,1,1
222,1,3,male,12.8,1,0,5.14,S,2,0
223,0,3,female,19.5,0,0,10.28,S,1,1
224,0,3,female,45.1,2,2,3.0,S,5,0
225,0,3,female,22.2,0,1,17.49,Q,2,0
226,1,3,female,31.0,1,0,14.93,S,2,0
227,1,3,female,13.9,0,1,9.59,C,2,0
228,0,3,male,33.7,0,1,6.78,S,2,0
229,0,3,male,22.6,0,0,12.55,S,1,1
230,0,3,male,43.7,1,0,9.95,S,2,0
231,0,3,male,39.8,2,0,14.46,Q,3,0
232,1,2,female,22.1,0,0,13.15,S,1,1
233,0,2,male,27.2,1,0,12.69,C,2,0
234,0,3,male,21.3,0,0,15.59,S,1,1
235,0,3,male,9.1,1,2,11.94,S,4,0
236,1,1,female,17.0,0,0,22.1,S,1,1
237,0,3,male,31.8,2,1,10.18,S,4,0
238,1,1,male,29.5,1,0,27.41,S,2,0
239,0,3,male,31.1,0,0,10.81,S,1,1
240,0,3,female,24.8,2,1,17.49,S,4,0
241,0,3,male,42.1,0,0,6.62,Q,1,1
242,0,1,female,29.5,0,0,16.66,S,1,1
243,0,3,male,38.8,0,0,9.62,C,1,1
244,0,2,male,4.2,0,0,10.26,S,1,1
245,0,2,female,29.5,0,0,8.19,S,1,1
246,1,1,male,29.5,0,0,44.53,Q,1,1
247,0,3,male,9.1,0,0,6.87,C,1,1
248,0,3,male,26.0,0,0,3.0,C,1,1
249,1,1,male,24.8,1,2,40.79,S,4,0
250,1,3,male,29.5,0,0,6.28,S,1,1
251,0,3,male,34.6,2,0,11.55,S,3,0
252,0,3,male,31.3,0,0,15.64,S,1,1
253,0,3,male,40.7,1,1,9.15,S,3,0
254,1,2,female,34.2,1,1,4.17,C,3,0
255,0,3,female,22.6,0,1,3.0,C,2,0
256,0,3,male,44.0,0,0,5.46,S,1,1
257,0,2,male,13.5,2,0,13.68,S,3,0
258,1,1,male,33.5,0,2,50.4,C,3,0
259,1,2,male,29.5,0,0,16.86,S,1,1
260,0,2,male,31.9,0,0,68.06,S,1,1
261,1,3,male,31.7,1,0,3.34,S,2,0
262,0,3,male,52.5,1,0,8.78,S,2,0
263,0,3,male,7.1,2,0,6.25,Q,3,0
264,1,3,male,29.5,0,0,9.4,S,1,1
265,1,1,female,29.5,0,1,70.18,S,2,0
266,0,3,male,33.7,0,0,24.26,S,1,1
267,1,2,female,31.5,0,0,14.62,Q,1,1
268,1,3,female,15.6,0,1,13.69,C,2,0
269,0,1,male,20.7,1,1,27.92,S,3,0
270,0,3,male,29.5,3,2,4.28,S,6,0
271,1,1,male,28.3,0,1,24.74,S,2,0
272,1,1,male,29.5,0,0,18.12,S,1,1
273,0,1,male,27.4,0,0,23.63,S,1,1
274,1,3,female,12.4,0,0,4.9,S,1,1
275,1,3,male,42.1,1,1,8.96,S,3,0
276,0,2,male,36.0,0,0,17.0,S,1,1
277,1,3,female,61.3,1,0,12.46,S,2,0
278,1,3,female,14.8,0,0,9.83,C,1,1
279,0,3,male,40.5,1,0,21.78,S,2,0
280,1,3,female,29.5,1,0,30.43,S,2,0
281,1,2,male,31.2,1,1,11.1,Q,3,0
282,0,2,male,42.7,0,0,25.33,S,1,1
283,1,3,male,0.4,0,1,29.04,S,2,0
284,1,3,male,26.1,0,0,14.85,S,1,1
285,1,3,female,21.1,0,0,12.56,S,1,1
286,1,3,male,29.5,0,0,3.0,C,1,1
287,1,1,male,34.4,0,1,17.55,S,2,0
288,0,3,male,44.7,0,0,6.38,C,1,1
289,0,2,male,27.1,0,0,32.53,S,1,1
290,0,3,male,31.9,0,0,5.27,S,1,1
291,0,3,male,29.5,1,2,7.76,S,4,0
292,0,3,female,29.5,0,0,13.52,S,1,1
293,0,3,male,29.5,2,0,5.13,S,3,0
294,0,2,male,44.5,0,0,16.73,S,1,1
295,0,1,male,33.1,0,0,26.82,S,1,1
296,0,3,male,34.5,0,0,13.82,S,1,1
297,1,3,male,17.7,1,0,12.13,C,2,0
298,1,1,female,22.6,1,1,35.74,S,3,0
299,0,3,female,26.5,0,0,9.21,Q,1,1
300,0,3,male,7.5,1,0,3.0,S,2,0
301,0,2,male,5.4,0,0,15.39,S,1,1
302,1,2,female,20.6,3,0,14.63,C,4,0
303,0,3,male,29.5,0,0,12.93,S,1,1
304,0,3,male,19.9,1,0,6.34,S,2,0
305,0,3,male,14.7,1,0,8.37,S,2,0
306,1,3,female,17.6,0,1,8.53,S,2,0
307,0,1,male,22.6,1,1,16.0,S,3,0
308,0,3,female,24.0,0,0,4.09,Q,1,1
309,0,1,female,59.3,0,1,30.86,S,2,0
310,1,1,male,43.8,0,0,44.91,C,1,1
311,0,3,female,29.5,0,1,5.61,S,2,0
312,1,3,female,45.4,0,0,7.17,S,1,1
313,1,2,male,15.0,0,0,23.28,S,1,1
314,0,1,male,11.9,1,1,42.78,C,3,0
315,1,3,male,13.5,1,0,9.38,C,2,0
316,1,3,male,47.7,0,0,10.47,S,1,1
317,0,3,male,21.3,0,0,11.24,S,1,1
318,0,3,male,29.5,2,0,12.51,S,3,0
319,0,3,male,23.0,0,0,4.29,S,1,1
320,1,3,female,25.7,0,0,25.8,S,1,1
321,0,1,male,32.8,3,0,28.92,C,4,0
322,0,2,male,32.5,1,0,21.93,S,2,0
323,0,2,male,17.4,0,1,8.96,C,2,0
324,0,3,male,38.6,0,0,7.3,S,1,1
325,1,3,male,20.1,0,0,10.24,S,1,1
326,0,3,male,26.8,2,2,3.0,S,5,0
327,1,1,male,38.6,1,0,14.29,S,2,0
328,1,1,female,20.0,1,1,15.88,C,3,0
329,1,2,female,21.0,1,0,6.57,S,2,0
330,1,2,male,37.3,1,0,15.08,S,2,0
331,0,3,female,29.5,1,1,7.81,S,3,0
332,0,3,female,23.6,0,2,19.19,S,3,0
333,0,3,male,36.8,1,0,4.17,S,2,0
334,0,3,female,57.8,1,0,9.4,C,2,0
335,0,3,female,37.5,0,1,4.82,S,2,0
336,0,3,male,35.6,1,1,3.0,C,3,0
337,1,1,male,36.4,0,0,34.91,S,1,1
338,0,3,male,29.5,0,0,12.21,S,1,1
339,0,3,male,30.6,0,0,11.37,Q,1,1
340,1,3,female,28.6,1,1,3.71,S,3,0
341,1,1,male,33.5,2,0,25.79,Q,3,0
342,1,2,female,30.6,1,0,20.26,S,2,0
343,0,2,female,34.3,0,0,25.06,S,1,1
344,1,3,male,24.6,0,0,11.91,C,1,1
345,1,3,female,29.5,0,0,14.57,Q,1,1
346,0,3,male,11.8,1,1,15.49,S,3,0
347,0,3,male,29.5,0,0,8.7,S,1,1
348,1,2,male,48.5,1,0,19.09,S,2,0
349,0,3,male,29.5,1,0,14.88,C,2,0
350,0,3,male,28.7,0,0,10.32,S,1,1
351,1,3,female,55.5,1,0,16.77,C,2,0
352,0,3,female,9.9,1,0,13.8,S,2,0
353,1,1,male,13.5,0,1,16.79,S,2,0
354,1,1,female,53.0,0,2,11.21,S,3,0
355,1,3,female,29.6,0,0,8.26,S,1,1
356,0,3,male,25.6,1,0,4.02,Q,2,0
357,1,3,male,12.2,1,0,8.58,S,2,0
358,1,3,female,35.3,1,1,8.13,Q,3,0
359,0,3,male,29.5,3,0,17.82,S,4,0
360,1,3,male,29.5,0,0,11.06,C,1,1
361,0,3,male,27.0,0,0,14.68,C,1,1
362,1,3,female,24.3,0,0,6.09,S,1,1
363,0,2,male,32.6,0,1,35.44,S,2,0
364,1,3,male,13.3,0,0,13.96,S,1,1
365,1,2,male,46.5,1,0,18.29,C,2,0
366,1,3,female,41.8,0,0,3.0,C,1,1
367,0,3,male,23.9,1,0,16.56,S,2,0
368,0,3,male,26.0,1,0,23.67,C,2,0
369,0,3,female,29.5,0,0,8.22,S,1,1
370,0,1,male,29.5,0,1,25.0,S,2,0
371,1,3,female,22.8,1,0,5.99,C,2,0
372,0,3,female,25.2,1,1,3.07,S,3,0
373,1,3,female,51.6,0,1,5.83,C,2,0
374,0,1,male,29.5,1,0,66.4,S,2,0
375,0,1,male,42.1,1,1,46.87,S,3,0
376,1,2,female,29.5,0,0,8.9,S,1,1
377,1,3,female,29.5,2,0,5.77,S,3,0
378,0,1,male,28.4,1,2,88.33,C,4,0
379,0,3,female,42.6,1,0,4.43,S,2,0
380,0,1,male,11.4,0,0,15.97,S,1,1
381,0,1,male,37.9,0,1,18.96,S,2,0
382,1,1,male,61.5,0,1,10.86,S,2,0
383,1,1,female,43.9,0,0,17.77,C,1,1
384,1,3,male,48.8,0,0,5.97,S,1,1
385,0,3,male,32.1,2,1,4.75,S,4,0
386,0,3,female,42.6,0,1,18.12,Q,2,0
387,1,1,male,29.5,0,0,12.18,S,1,1
388,0,2,male,40.1,1,1,13.0,C,3,0
389,1,3,male,29.5,0,1,4.82,S,2,0
390,1,3,male,29.5,0,0,7.2,S,1,1
391,1,2,female,47.4,0,0,8.13,C,1,1
392,1,3,female,21.5,0,0,8.55,S,1,1
393,0,2,male,29.5,0,1,17.17,S,2,0
394,0,2,female,29.5,0,0,32.83,S,1,1
395,0,3,male,14.6,0,0,5.74,S,1,1
396,1,1,male,32.2,0,0,64.76,S,1,1
397,0,3,male,4.9,0,0,5.03,C,1,1
398,0,2,male,43.7,0,0,12.27,S,1,1
399,0,3,male,29.7,2,0,23.54,S,3,0
400,0,1,male,21.7,0,0,140.02,C,1,1
401,1,3,male,17.3,1,1,22.46,S,3,0
402,1,1,male,29.5,0,0,21.45,S,1,1
403,0,3,male,38.6,0,4,11.12,C,5,0
404,0,3,male,36.7,2,1,12.3,C,4,0
405,1,3,female,29.5,0,0,10.05,S,1,1
406,1,3,female,17.2,3,1,4.46,S,5,0
407,0,3,male,29.5,0,1,9.4,S,2,0
408,1,2,female,29.5,1,0,10.45,S,2,0
409,1,1,female,29.8,0,1,13.72,S,2,0
410,1,3,male,30.7,0,0,6.77,C,1,1
411,1,1,male,33.4,2,1,29.64,Q,4,0
412,1,3,female,41.0,1,1,14.89,C,3,0
413,1,1,male,11.3,1,0,21.07,S,2,0
414,1,3,female,2.2,0,1,7.79,C,2,0
415,1,3,female,21.1,0,0,13.23,S,1,1
416,0,3,male,29.5,0,0,8.52,S,1,1
417,0,3,female,57.3,0,1,10.27,S,2,0
418,1,1,male,54.6,0,1,25.71,S,2,0
419,0,3,male,29.5,1,0,9.22,Q,2,0
420,1,2,female,29.5,0,1,7.41,S,2,0
421,1,3,male,29.5,0,0,8.79,S,1,1
422,1,3,female,20.4,0,1,19.23,Q,2,0
423,1,3,female,26.2,0,0,9.04,S,1,1
424,1,1,female,47.2,1,0,14.88,C,2,0
425,0,2,male,41.1,1,1,34.33,S,3,0
426,0,1,male,32.2,0,1,37.82,S,2,0
427,1,1,male,16.5,0,1,38.88,Q,2,0
428,1,2,male,15.5,1,0,22.07,S,2,0
429,0,3,male,32.6,0,0,4.15,S,1,1
430,1,1,female,38.8,1,0,36.19,S,2,0
431,1,3,female,34.5,0,0,18.74,S,1,1
432,0,3,male,14.5,1,0,6.12,S,2,0
433,0,3,male,38.1,0,0,3.0,S,1,1
434,1,2,female,35.0,2,1,17.63,S,4,0
435,0,2,male,14.0,0,0,14.43,C,1,1
436,0,3,male,18.0,2,0,3.23,S,3,0
437,1,1,female,38.6,0,0,35.28,S,1,1
438,0,3,female,25.7,0,0,11.23,S,1,1
439,0,2,male,51.2,4,0,5.87,Q,5,0
440,1,3,female,36.0,0,3,25.37,Q,4,0
441,0,3,male,29.5,1,0,12.82,S,2,0
442,1,3,female,28.9,0,0,3.0,C,1,1
443,0,2,male,29.9,0,1,23.13,S,2,0
444,0,1,male,18.8,1,0,39.41,S,2,0
445,0,3,female,16.2,0,0,19.09,S,1,1
446,0,3,male,38.8,1,0,5.62,S,2,0
447,1,1,female,40.8,0,2,40.45,S,3,0
448,1,1,female,29.5,1,0,21.29,S,2,0
449,1,1,female,50.2,0,1,17.57,Q,2,0
450,1,3,female,21.4,0,1,4.86,C,2,0
